Instance,SBM,SA,TN16,D-Wave
1,-8609.961,-8515.920174472332,-8548.558044493531,-8595.92875956607
2,-8597.881,-8493.263446626608,-8541.643528301334,-8602.427907648314
3,-8557.773,-8467.807244478545,-8516.861915484915,-8552.910316851941
4,-8578.838,-8499.503891375485,-8513.774294368066,-8569.303316142217
5,-8566.395,-8471.654636983796,-8512.737597391668,-8560.609698353206
6,-8564.945,-8469.2852211471,-8511.77505801597,-8570.930957867535
7,-8574.625,-8486.302896564093,-8508.118421543384,-8568.897897724133
8,-8630.94,-8540.018981456487,-8581.649581230118,-8614.675347679902
9,-8609.836,-8512.927691105937,-8568.697647572855,-8589.933289281045
10,-8570.392,-8471.940571940513,-8524.277754117446,-8562.40118873966
11,-8544.92,-8435.268491749865,-8479.948773403792,-8538.522413537594
12,-8547.347,-8450.188238573126,-8512.865483727901,-8540.039322565955
13,-8567.672,-8473.586078548373,-8512.297836642536,-8559.173046196585
14,-8587.699,-8488.549357820617,-8539.209691604632,-8582.09665715501
15,-8541.079,-8445.492220506752,-8490.601050239857,-8536.31547814329
16,-8570.479,-8473.216498831061,-8513.080188805649,-8561.643211277311
17,-8603.309,-8524.109921696312,-8555.334181229622,-8593.662913578777
18,-8562.511,-8468.22595365497,-8500.457530429096,-8557.843356800497
19,-8587.521,-8488.973839236487,-8546.921151705837,-8575.50934299785
20,-8623.099,-8531.940477197155,-8565.302065011865,-8619.915601663817
