Instance,TN20,SBM,SA,TN16,D-Wave
1,-1835.712913764241,-1839.9758,-1831.714877894264,-1838.0659099508216,-1840.192341811911
2,-1826.8054914327809,-1832.1396,-1817.373645552969,-1823.3901755367212,-1831.2324661731127
3,-1819.2970256818785,-1824.6697,-1812.9063276360143,-1816.2076371746907,-1824.899147738879
4,-1810.0148891379388,-1813.2097,-1799.6659831184788,-1807.6835341188053,-1811.7902371822456
5,-1799.8061368335364,-1805.9429,-1788.9788558534815,-1797.8781481874978,-1805.072143725944
6,-1808.37991066739,-1813.1493,-1802.1017655396392,-1806.9013345753517,-1811.4520832067965
7,-1816.3496277879087,-1821.1364,-1813.555167766492,-1813.2099082060852,-1820.3648264406484
8,-1822.437969359663,-1825.6522,-1817.3426542512536,-1822.437969359663,-1824.620287380395
9,-1846.174831723049,-1848.4978,-1840.897727164741,-1846.174831723049,-1847.8249131629325
10,-1844.8280578457493,-1850.6516,-1842.071386274084,-1845.261862092745,-1850.5862520301023
11,-1827.002649799395,-1832.53,-1825.5440082799576,-1831.2438918306743,-1830.8598992272632
12,-1830.2366748890825,-1835.3784,-1827.7219459549876,-1829.191401029333,-1833.911293578044
13,-1830.203063123255,-1837.383,-1827.2474080673712,-1827.833832922668,-1836.197038107352
14,-1838.8917044811988,-1844.4015,-1831.774448221608,-1839.0505221952865,-1841.5431472510625
15,-1819.7882191407373,-1825.5449,-1815.8804519030325,-1820.4844909443848,-1824.7583966750888
16,-1853.0060463801792,-1855.5713,-1844.1896933131889,-1851.0888564953573,-1853.1929348176784
17,-1816.7663192741884,-1818.2693,-1812.4822801635387,-1815.1545821662523,-1817.4774799788584
18,-1844.1901779394288,-1843.7948,-1840.837152680776,-1844.1901779394288,-1843.4388185611897
19,-1813.5822883497544,-1820.2848,-1808.9351900589145,-1812.6527435805208,-1820.5441522234944
20,-1836.7068892908596,-1839.0093,-1831.31678347086,-1832.772919430697,-1837.8179987222163
