instance,gs,tts_bf_gpu,tts_sa,tts_pa,tts_sbm
1,-31.25,31.05,6.940641539935239,0.25944921820144146,0.8646625027963071
2,-27.25,30.69,33.12362023070297,1.0937845918470506,2.6327824594738747
3,-29.25,35.21,3.681348790118792,0.23792474953799336,0.4570849345638445
4,-26.75,35.27,64.03407405772575,1.3544489397793282,1.4270431848650622
5,-26.75,35.06,46.499355372328935,1.6714574026241173,1.993985266587069
6,-29.75,35.09,11.94852048226995,1.1807281762206738,2.1090784258805297
7,-31.0,35.46,10.511417295737083,0.11534032546483196,0.1631604435867784
8,-28.0,30.61,36.07884665344844,5.910367616151746,3.164404517499598
9,-29.75,35.14,21.181350486170572,0.43342639945053474,1.1588687178144395
10,-32.25,35.22,7.839448590557204,5.900512442934919,0.6470168349275933
